;Name;InChI;smiles;rt;RT
268;Sulfameter;InChI=1S/C11H12N4O3S/c1-18-9-6-13-11(14-7-9)15-19(16,17)10-4-2-8(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15);COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1;674.9;4.33
269;Sulfamethoxypyridazine;InChI=1S/C11H12N4O3S/c1-18-11-7-6-10(13-14-11)15-19(16,17)9-4-2-8(12)3-5-9/h2-7H,12H2,1H3,(H,13,15);COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1;572.5;4.33
270;Sulphadimethoxine;InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16);COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1;680.4;5.44
271;Sunitinib;InChI=1S/C22H27FN4O2/c1-5-27(6-2)10-9-24-22(29)20-13(3)19(25-14(20)4)12-17-16-11-15(23)7-8-18(16)26-21(17)28/h7-8,11-12,25H,5-6,9-10H2,1-4H3,(H,24,29)(H,26,28);CCN(CC)CCN=C(O)c1c(C)[nH]c(C=C2C(O)=Nc3ccc(F)cc32)c1C;699.7;5.51
272;TAK-700 (Orteronel);InChI=1S/C18H17N3O2/c1-19-17(22)14-3-2-13-9-15(5-4-12(13)8-14)18(23)6-7-21-11-20-10-16(18)21/h2-5,8-11,23H,6-7H2,1H3,(H,19,22);CNC(=O)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1;98.1;3.66
273;Taladegib (LY2940680);InChI=1S/C26H24F4N6O/c1-34(25(37)20-8-7-16(27)15-21(20)26(28,29)30)17-10-13-36(14-11-17)24-19-6-4-3-5-18(19)23(32-33-24)22-9-12-31-35(22)2/h3-9,12,15,17H,10-11,13-14H2,1-2H3;CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1;849.7;6.73
274;Tamoxifen;InChI=1S/C26H29NO/c1-4-25(21-11-7-5-8-12-21)26(22-13-9-6-10-14-22)23-15-17-24(18-16-23)28-20-19-27(2)3/h5-18H,4,19-20H2,1-3H3;CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1;1011.9;7.21
275;Tedizolid;InChI=1S/C17H15FN6O3/c1-23-21-16(20-22-23)15-5-2-10(7-19-15)13-4-3-11(6-14(13)18)24-8-12(9-25)27-17(24)26/h2-7,12,25H,8-9H2,1H3;Cn1nnc(-c2ccc(-c3ccc(N4CC(CO)OC4=O)cc3F)cn2)n1;735.2;5.43
276;Telotristat;InChI=1S/C25H22ClF3N6O3/c1-13-8-9-35(34-13)20-11-16(26)6-7-17(20)22(25(27,28)29)38-21-12-19(32-24(31)33-21)15-4-2-14(3-5-15)10-18(30)23(36)37/h2-9,11-12,18,22H,10,30H2,1H3,(H,36,37)(H2,31,32,33);Cc1ccn(-c2cc(Cl)ccc2C(Oc2cc(-c3ccc(CC(N)C(=O)O)cc3)[nH]c(=N)n2)C(F)(F)F)n1;833.6;6.53
277;Teneligliptin;InChI=1S/C22H30N6OS/c1-17-13-21(28(24-17)18-5-3-2-4-6-18)26-9-7-25(8-10-26)19-14-20(23-15-19)22(29)27-11-12-30-16-27/h2-6,13,19-20,23H,7-12,14-16H2,1H3;Cc1cc(N2CCN(C3CNC(C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1;652.8;4.59
278;Teniposide;InChI=1S/C32H32O13S/c1-37-19-6-13(7-20(38-2)25(19)33)23-14-8-17-18(42-12-41-17)9-15(14)28(16-10-39-30(36)24(16)23)44-32-27(35)26(34)29-21(43-32)11-40-31(45-29)22-4-3-5-46-22/h3-9,16,21,23-24,26-29,31-35H,10-12H2,1-2H3;COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O;779.6;6.42
279;Tenofovir;InChI=1S/C9H14N5O4P/c1-6(18-5-19(15,16)17)2-14-4-13-7-8(10)11-3-12-9(7)14/h3-4,6H,2,5H2,1H3,(H2,10,11,12)(H2,15,16,17);CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O;117.5;1.78
280;Tetramisole;InChI=1S/C11H12N2S/c1-2-4-9(5-3-1)10-8-13-6-7-14-11(13)12-10/h1-5,10H,6-8H2;c1ccc(C2CN3CCSC3=N2)cc1;618.3;3.55
